47751,Polystichum munitum,15012
48252,Thuja plicata,14119
47543,Rubus spectabilis,12991
48256,Pseudotsuga menziesii,12186
48441,Gaultheria shallon,11822
49463,Trillium ovatum,10163
48227,Acer macrophyllum,9603
51646,Rubus parviflorus,9023
75756,Berberis nervosa,8688
126887,Berberis aquifolium,8229
53419,Oemleria cerasiformis,8187
48523,Symphoricarpos albus,8109
55925,Geranium robertianum,7958
53983,Digitalis purpurea,7610
53445,Rubus ursinus,7052
48229,Ranunculus repens,7042
52821,Achillea millefolium,6912
53414,Holodiscus discolor,6908
564969,Chamaenerion angustifolium,6795
57824,Sambucus racemosa,6785
48537,Lysichiton americanus,6700
48258,Acer circinatum,6646
48354,Vaccinium parvifolium,6588
51046,Arbutus menziesii,6539
51048,Dicentra formosa,6395
52681,Pteridium aquilinum,6379
48254,Tsuga heterophylla,6151
56034,Alnus rubra,6145
57030,Equisetum telmateia,5848
53856,Ilex aquifolium,5715
53435,Ribes sanguineum,5606
55767,Claytonia sibirica,5548
52833,Anaphalis margaritacea,5515
55104,Polypodium glycyrrhiza,5447
51655,Tellima grandiflora,5251
48538,Cytisus scoparius,5176
52669,Athyrium filix-femina,5049
83914,Oplopanax horridus,5035
75415,Amelanchier alnifolia,4719
52764,Prunella vulgaris,4682
63939,Maianthemum dilatatum,4584
50719,Goodyera oblongifolia,4575
141854,Urtica gracilis,4524
496537,Lysimachia latifolia,4508
78883,Rosa nutkana,4444
77266,Geum macrophyllum,4389
774894,Struthiopteris spicant,4347
62493,Spiraea douglasii,4298
78699,Populus trichocarpa,4270
77744,Lilium columbianum,4244
48461,Pinus ponderosa,4178
48349,Vaccinium ovatum,4140
51643,Tiarella trifoliata,4113
55620,Solanum dulcamara,4045
55780,Petasites frigidus,3973
53387,Cornus sericea,3961
51062,Maianthemum racemosum,3895
168025,Rubus bifrons,3821
55563,Bellis perennis,3820
55882,Hedera helix,3751
52989,Cirsium vulgare,3740
62498,Jacobaea vulgaris,3731
52667,Adiantum aleuticum,3707
75263,Achlys triphylla,3690
1096279,Cornus unalaschkensis,3616
77832,Lonicera ciliosa,3550
48244,Aquilegia formosa,3545
48543,Mycelis muralis,3534
56077,Hypericum perforatum,3530
49477,Monotropa uniflora,3501
56057,Leucanthemum vulgare,3475
55851,Lamium purpureum,3459
68131,Picea sitchensis,3451
77780,Linnaea borealis,3439
61317,Rubus armeniacus,3385
60881,Lonicera involucrata,3374
51147,Crataegus monogyna,3285
78560,Phyllodoce empetriformis,3257
53050,Epilobium ciliatum,3248
68632,Quercus garryana,3212
61432,Prunus laurocerasus,3211
48934,Pinus contorta,3171
60132,Cirsium arvense,3167
76148,Castilleja miniata,3151
55981,Lapsana communis,3136
60482,Pulsatilla occidentalis,3124
47602,Taraxacum officinale,3104
55971,Tanacetum vulgare,3104
76610,Daucus carota,3101
53094,Heracleum maximum,3072
47215,Calypso bulbosa,3008
53374,Corylus cornuta,3007
53059,Galium aparine,2970
128204,Castilleja hispida,2908
53178,Plantago lanceolata,2899
62220,Camassia quamash,2864
76401,Clintonia uniflora,2853
53104,Hypochaeris radicata,2804
52625,Stachys chamissonis,2802
59524,Xerophyllum tenax,2777
